char,dialog,movie
Orc,"  Late as usual, pirate scum. ,  Theres knifework here needs doing. Come on you sea rats, get off your ships.      ",The Return of the King
Gimli,"  Theres plenty for the both of us, may be best Dwarf win!      ",The Return of the King
Witch King,  You fool!  No man can kill me.  Die now!    ,The Return of the King
Eowyn,  I am no man!      ,The Return of the King
Sam,  You see Mr Frodo some luck at last!     ,The Return of the King
Orc,"  Move it, you slugs!      ",The Return of the King
Orc,  Come on!  Faster!      ,The Return of the King
Orc,"  Come along you scum! ,  Ill whip you down to the bone!  Come on!  What have I told you.    ,  Get up!    ,  Come on you slugs!  You two are going straight to the front line!  Move it, come on!  Fall in!  Move it! Move it! Move it!      ",The Return of the King
Orc,"  To the gate you slugs, now move it! ,  Dont you know were at war?      ",The Return of the King
Orc,  Company halt!  Inspection!      ,The Return of the King
Frodo,  Sam!  Help me!      ,The Return of the King
Sam,  Mr Frodo!      ,The Return of the King
Sam,  Stand up Mr Frodo.  Stand up!     ,The Return of the King
Frodo,  Its so heavy!      ,The Return of the King
Sam,"  Oh no!  What do I do? ,  What do I do?      ",The Return of the King
Frodo, Hit me!  Hit me Sam!  Start fighting!      ,The Return of the King
Sam,"  Get off of me! ,  Nobody pushes me you filthy maggot!    ,  Get off of me!      ",The Return of the King
Gandalf,      Retreat! The city is breached. Fall back to the second level. Get the     women and children out. Get them out. Retreat.  ,The Return of the King
Soldiers On Gate,"    Come on, come on!  ",The Return of the King
Gothmog,    Move into the city. Kill all in your path.  ,The Return of the King
Orc,  Break it up!  Break it up!     ,The Return of the King
General,  Oy!  Ill have your guts if you dont shut this rabble down!      ,The Return of the King
Frodo,     Go Sam.  Now!      ,The Return of the King
General,  Move along scum!      ,The Return of the King
Captain,  Get back in the line you maggots!  Get back in the line you slugs!      ,The Return of the King
Frodo,  I cant!  I cant I cant manage the Ring Sam.  Its its such a weight to carry.  Its such a weight.         ,The Return of the King
Soldier,    Take them down!  ,The Return of the King
Gandalf,    Fight! Fight to the last man. Fight for your lives.  ,The Return of the King
Pippin,"    Gandalf! ,     Gandalf! Denethor has lost his mind. Hes burning Faramir alive!  ",The Return of the King
Gandalf,    Up! Quickly!  ,The Return of the King
Gandalf,"    ,     Go back to the abyss! Fall into the nothingness that awaits you and your     master!  ",The Return of the King
Witch King,"    Do you not know death when you see it, old man? , This is my hour!     ",The Return of the King
Pippin,     Gandalf!  ,The Return of the King
Pippin,"    AAAAhhh! ,  ",The Return of the King
Witch King,    You have failed! The world of men will fall.  ,The Return of the King
Sam,"    ,  Were going that way, straight as we can.  Theres no point carrying anything were not sure to need.      ",The Return of the King
Sam,"  Mr Frodo, look. ,  There is light and beauty up there that no shadow can touch.      ",The Return of the King
Sam,"  Take mine. ,  Theres a few drops left.      ",The Return of the King
Frodo,  There will be none left for the return journey.      ,The Return of the King
Sam,  I dont think there will be a return journey Mr Frodo.      ,The Return of the King
Sam,"  Frodo, get down! ,  Hide!      ",The Return of the King
Sam,     Frodo!      ,The Return of the King
Pippin,  Where are they?     ,The Return of the King
Aragorn,"  Let the Lord of the Black Land come forth! ,  Let justice be done upon him!      ",The Return of the King
Mouth Of Sauron,  My master Sauron the Great bids thee welcome.      ,The Return of the King
Mouth Of Sauron, Is there any in this rout with authority to treat with me?     ,The Return of the King
Gandalf,"  We do not come to treat with Sauron, faithless and accursed.    Tell your master this.  The armies of Mordor must disband.  He is to depart these lands, never to return.      ",The Return of the King
Eowyn,    Courage Merry. Courage for our friends.  ,The Return of the King
Gothmog,"    Form ranks you maggots. Form ranks. Pikes in front, archers behind.     ",The Return of the King
Theoden,"    Eomer, take your Eored down the left flank ",The Return of the King
Eomer,    Flank ready! ,The Return of the King
Theoden,"    Gamling, follow the Kings banner down the centre. Grimbold! Take your company right after you pass the wall. Forth and fear no darkness!     , Arise! Arise riders of Theoden. Spears shall be shaken, shields shall be splintered, a sword day, a red day ere the sun rises!! ",The Return of the King
Eowyn,"    Whatever happens, stay with me. Ill look after you.  ",The Return of the King
Theoden,"    Ride now, ride now! Ride! Ride for ruin and the worlds ending! DEATH! ",The Return of the King
Army,    DEATH!  ,The Return of the King
Theoden,    DEATH!  ,The Return of the King
Army,    DEATH!  ,The Return of the King
Theoden,    DEATH!  ,The Return of the King
Theoden,    DEATH!  ,The Return of the King
Mouth Of Sauron,  Aha!  Old Greybeard!  I have a token I was bidden to show thee.      ,The Return of the King
Pippin,  Frodo!     ,The Return of the King
Pippin,  Frodo!     ,The Return of the King
Gandalf,  Silence!     ,The Return of the King
Merry,  No!      ,The Return of the King
Gandalf,  Silence!     ,The Return of the King
Mouth Of Sauron,"  The Halfling was dear to thee I see.  Know that he suffered greatly at the hands of his host.  Who wouldve thought one so small could endure so much pain?  And he did Gandalf, he did.      ",The Return of the King
Aragorn,    You may go no further.  ,The Return of the King
Aragorn,You will not enter Gondor ,The Return of the King
Boson,Who are you to deny us passage?  ,The Return of the King
Aragorn,"Legolas, fire a warning shot past the bosons ear.  ",The Return of the King
Gimli,Mind your aim. ,The Return of the King
Gimli,"Oh! , Thats     it, right, we warned you! Prepare to be boarded!  ",The Return of the King
Mercenary,"Boarded, by you and whose army?  ",The Return of the King
Eowyn/Merry,    DEATH!  ,The Return of the King
Theoden,    Forth Eorlingas!  ,The Return of the King
Gothmog,    FIRE! ,The Return of the King
Merry,    DEEEEAAATH! ,The Return of the King
Theoden,    CHAAAAARGE!  ,The Return of the King
Gothmog,    Fire at will!  ,The Return of the King
Denethor,    Set a fire in our flesh!  ,The Return of the King
Gandalf,    Stay this madness!  ,The Return of the King
Denethor,"    You may triumph in the field of battle for a day, but against the power that     has risen in the east, there is no victory!  ",The Return of the King
Denethor,"    NOOOOOO, you will not take my son from me!  ",The Return of the King
Pippin,    NO! Aaahhh ,The Return of the King
Denethor,    Faramir!  ,The Return of the King
Denethor,    Aaaaaahhhh!  ,The Return of the King
Gandalf,"    So passes Denethor, son of Ecthelion.  ",The Return of the King
Mouth Of Sauron, And who is this?  Isildurs heir?  It takes more to make a King than a broken Elvish blade.      ,The Return of the King
Gimli,  I guess that concludes negotiations.      ,The Return of the King
Aragorn,     I do not believe it.  I will not.     ,The Return of the King
Aragorn,This army.  ,The Return of the King
Gollum,In there.  ,The Return of the King
Frodo, What is this place?  ,The Return of the King
Gollum,Master must go inside the tunnel.  ,The Return of the King
Frodo,Now that Im here I dont think I want to.  ,The Return of the King
Gollum,Its the only way. Go in or go back.  ,The Return of the King
Frodo,I cant go back.  ,The Return of the King
Frodo,Whats that smell. ,The Return of the King
Gollum,Orcses filth. Orcses come in here sometimes.  ,The Return of the King
Gollum,Hurry! This way. ,The Return of the King
Frodo,Smeagol?  ,The Return of the King
Gollum,Over here.  ,The Return of the King
Frodo,"Ah aah! Its sticky, what is it?  ",The Return of the King
Gollum," Youll see. Oh yes, you     will see. ",The Return of the King
Eomer,"  Drive them to the river. ,     ",The Return of the King
Theoden,"  Make safe the city.,     ",The Return of the King
Theoden,"  Reform the line!  Reform the line!,     ",The Return of the King
Theoden,"  Sound the charge.  Take them headon. Chaaarge! ,     ",The Return of the King
Rohirrim,"  Cut him down! ,     ",The Return of the King
Eowyn,"  Take the reins, pull him left. ,  LEFT! ,     ",The Return of the King
Eomer,"  Aim for the heads! ,     ",The Return of the King
Theoden,"  Bring it down! Bring it down!  Bring it down!,     ",The Return of the King
Eowyn,"  Merry! ,     ",The Return of the King
Frodo,Smeagol? shouts SMEAGOL! SMEAGOL!  ,The Return of the King
Frodo,Sam.  ,The Return of the King
Sam,Ow!  ,The Return of the King
Galadriel Voiceover,"And you Frodo Baggins, I give you the light of Erendil, our most beloved star. , May it be a light for you in dark places, when all other lights go out.  ",The Return of the King
Frodo,Aiya Erendil Elenion Ancalim  ,The Return of the King
Gollum,"Naughty little fly. Why does he cry? ,Caught in a web. Soon     youll be eaten.  ",The Return of the King
Gollum,Got away did it precious? Not this time. Not this time.     ,The Return of the King
Frodo,NO! ,The Return of the King
Smeagol,"It wasnt us. It wasnt us. ,Smeagol wouldnt hurt master. We promised. You must believe us. It was the precious. The precious made us do it.  ",The Return of the King
Frodo,"I have to destroy it Smeagol. , I have to destroy it for both our sakes.  ",The Return of the King
Gollum,"NO! , Aaaaaaaaa. ",The Return of the King
Frodo,Im so sorry Sam.     Im so sorry.  ,The Return of the King
Gimli,What kind of army would linger in such a place?  ,The Return of the King
Legolas,"One that is cursed. Long ago the men of the mountains swore an oath to     the last King of Gondor , to come to his aid, to fight. But when     the time came, when Gondors need was dire, they fled vanishing into the     darkness of the mountain. And so Isildur cursed them, never to rest until     they had fulfilled their pledge. Who shall call them from the grey twilight,     the forgotten people? The heir of him to whom the oath they swore. From the     North shall he come, need shall drive him. He shall pass the door to the     Paths of the Dead.  ",The Return of the King
Gimli,The very warmth of my blood seems stolen away.  ,The Return of the King
Legolas,"The way is shut. It was made by those who are dead , and the dead keep it. The     way is shut.  ",The Return of the King
Aragorn,Brego!  ,The Return of the King
Aragorn,I do not fear death! ,The Return of the King
Galadriel,"This task was appointed to you, Frodo of the Shire. If you do not find a     way, no one will.  ",The Return of the King
Eomer,"The scouts report Minas Tirith is surrounded. The lower levels in flames. Everywhere, legions of the enemy advance.  ",The Return of the King
Theoden,Time is against us. Make ready! ,The Return of the King
Eowyn,"Take heart Merry. , It will soon be over ",The Return of the King
Merry,"My lady. You are fair and brave and have much to live for    , and many who love you. I     know it is too late to turn aside. I know there is not much point now in     hoping. If I were a knight of Rohan capable of great deedsbut Im not. Im a Hobbit. And I know I cant save Middle Earth. I just want to help my friends Frodo, Sam, Pippin. More than anything I wish I could see them again. ",The Return of the King
Eomer,Prepare to move out!  ,The Return of the King
Theoden,Make haste. We ride through the night.  ,The Return of the King
Eowyn,To battle ,The Return of the King
Merry,To battle ,The Return of the King
Gandalf,Back to the gate! Hurry! ,The Return of the King
Gimli,"Well this is a thing unheard of. An elf will go underground, where a     dwarf dare not. Oh. Oh, Id never hear the end of it.  ",The Return of the King
Theoden,We must ride light and swift. It is a long road ahead and man and beast     must reach the end with the strength to fight.  ,The Return of the King
Theoden,Little Hobbits do not belong in war Master Meriadoc.  ,The Return of the King
Merry,All my friends have gone to battle. I would be ashamed to be left     behind.  ,The Return of the King
Theoden,It is a threeday gallop to Minas Tirith and none of my riders can bear     you as a burdon.  ,The Return of the King
Merry, I want to fight! ,The Return of the King
Theoden,I will say no more.  ,The Return of the King
Eowyn,Ride with me!  ,The Return of the King
